행정구역,2020년_계_총인구수,2020년_계_연령구간인구수,2020년_계_0세,2020년_계_1세,2020년_계_2세,2020년_계_3세,2020년_계_4세,2020년_계_5세,2020년_계_6세,2020년_계_7세,2020년_계_8세,2020년_계_9세,2020년_계_10세,2020년_계_11세,2020년_계_12세,2020년_계_13세,2020년_계_14세,2020년_계_15세,2020년_계_16세,2020년_계_17세,2020년_계_18세,2020년_계_19세,2020년_계_20세,2020년_계_21세,2020년_계_22세,2020년_계_23세,2020년_계_24세,2020년_계_25세,2020년_계_26세,2020년_계_27세,2020년_계_28세,2020년_계_29세,2020년_계_30세,2020년_계_31세,2020년_계_32세,2020년_계_33세,2020년_계_34세,2020년_계_35세,2020년_계_36세,2020년_계_37세,2020년_계_38세,2020년_계_39세,2020년_계_40세,2020년_계_41세,2020년_계_42세,2020년_계_43세,2020년_계_44세,2020년_계_45세,2020년_계_46세,2020년_계_47세,2020년_계_48세,2020년_계_49세,2020년_계_50세,2020년_계_51세,2020년_계_52세,2020년_계_53세,2020년_계_54세,2020년_계_55세,2020년_계_56세,2020년_계_57세,2020년_계_58세,2020년_계_59세,2020년_계_60세,2020년_계_61세,2020년_계_62세,2020년_계_63세,2020년_계_64세,2020년_계_65세,2020년_계_66세,2020년_계_67세,2020년_계_68세,2020년_계_69세,2020년_계_70세,2020년_계_71세,2020년_계_72세,2020년_계_73세,2020년_계_74세,2020년_계_75세,2020년_계_76세,2020년_계_77세,2020년_계_78세,2020년_계_79세,2020년_계_80세,2020년_계_81세,2020년_계_82세,2020년_계_83세,2020년_계_84세,2020년_계_85세,2020년_계_86세,2020년_계_87세,2020년_계_88세,2020년_계_89세,2020년_계_90세,2020년_계_91세,2020년_계_92세,2020년_계_93세,2020년_계_94세,2020년_계_95세,2020년_계_96세,2020년_계_97세,2020년_계_98세,2020년_계_99세,2020년_계_100세 이상
서울특별시 종로구 (1111000000),149384,149384,469,585,586,676,764,843,869,833,990,912,1018,933,1036,1118,1047,980,1115,1123,1161,1482,1835,1868,2016,2288,2467,2604,2583,2606,2616,2533,2311,2012,2007,1951,1803,1894,1740,2006,2050,2169,2070,2176,1802,1917,1984,2084,2269,2470,2593,2866,2782,2657,2634,2510,2309,2481,2522,2390,2580,2594,2635,2341,2190,2270,2048,2170,1789,1595,1743,1167,1332,1411,1373,1473,1143,1103,1122,1121,1314,1108,925,964,795,674,641,551,464,374,322,268,216,190,160,132,104,76,61,53,57,44,276
서울특별시 중구 (1114000000),125240,125240,612,624,623,682,740,729,682,720,743,681,639,569,615,682,587,580,683,693,766,959,1332,1340,1455,1708,1819,1930,2113,2256,2384,2249,2092,2025,2096,1997,1921,1968,1861,2025,2078,2044,2008,1884,1614,1642,1587,1649,1772,1783,1927,2145,2076,2167,2194,2069,1825,1976,2055,2011,2117,2212,2215,2058,1946,1975,1857,1845,1664,1396,1551,1044,1249,1238,1189,1255,987,944,934,917,1094,926,710,725,650,538,557,450,377,351,257,221,183,194,138,115,67,50,44,46,36,27,205
서울특별시 용산구 (1117000000),230040,230040,1085,1221,1249,1288,1455,1473,1411,1382,1507,1425,1452,1398,1376,1530,1436,1417,1615,1625,1715,2045,2489,2566,2649,3017,3036,3479,3753,3891,4264,4341,4045,3861,3842,3678,3632,3688,3598,3754,4013,3958,3901,3504,3113,3301,3179,3249,3587,3692,4001,4171,4125,4116,3907,3678,3307,3602,3492,3461,3702,3680,3702,3577,3223,3341,2991,3034,2598,2274,2379,1721,1943,1955,1962,1962,1593,1496,1501,1511,1777,1503,1260,1232,1153,1047,948,810,679,549,480,414,324,314,241,179,135,110,97,102,70,55,371
서울특별시 성동구 (1120000000),293556,293556,1873,1935,1967,2058,2228,2226,2099,2032,2068,1963,1840,1705,1841,1985,1746,1776,2001,1990,2162,2769,3427,3497,3822,4230,4614,4879,5095,5126,5249,5104,4804,4657,4841,4653,4721,4846,4818,5089,5247,5229,4972,4724,3995,4167,4136,4168,4335,4699,4733,5091,5051,5030,4956,4631,4251,4746,4625,4395,4764,4799,5030,4470,4242,4108,3791,3769,3237,2782,2987,2118,2379,2432,2258,2460,2004,1722,1822,1770,2123,1616,1401,1317,1149,1049,955,726,671,500,420,332,282,221,198,141,91,74,53,47,48,30,251
서울특별시 광진구 (1121500000),346682,346682,1402,1612,1672,1753,1912,2163,2101,2194,2426,2337,2378,2242,2456,2643,2518,2376,2596,2750,2683,3289,4248,4483,5160,5796,6506,6970,7422,7421,7687,7247,6269,6140,5891,5481,5332,5298,4959,5413,5653,5547,5438,5268,4397,5018,4753,4964,5306,5561,5708,6069,5861,5766,5842,5539,5114,5360,5168,4975,5367,5549,5659,5241,4941,4817,4264,4541,3715,3249,3645,2388,2656,2546,2765,2702,2183,1869,1940,1894,2134,1739,1459,1434,1255,1066,891,835,636,494,441,339,281,259,184,169,97,83,68,53,46,37,218
서울특별시 동대문구 (1123000000),342837,342837,1631,1860,1850,2008,2168,2306,2224,2145,2363,2233,2263,2074,2240,2341,2140,2080,2257,2430,2518,3304,4357,4508,5244,5793,6129,6254,6340,6052,5956,5698,5264,4926,4917,4661,4667,4785,4675,5236,5524,5520,5272,5207,4428,4783,4594,4799,5054,5332,5430,5731,5710,5656,5502,5203,5048,5202,5085,4869,5376,5611,5855,5540,5153,5180,4664,5001,4288,3732,4124,2856,3171,3177,3237,3340,2690,2472,2443,2522,2851,2292,1917,1804,1582,1353,1195,1037,922,699,586,426,356,295,246,201,122,89,80,82,69,42,313
서울특별시 중랑구 (1126000000),394702,394702,1761,2012,2092,2191,2475,2559,2321,2483,2624,2546,2481,2375,2469,2547,2508,2358,2658,2901,2951,3511,4176,4201,4564,5176,5505,6088,6492,6556,6906,6448,6015,5798,5814,5574,5552,5526,5531,5761,6297,6256,6352,5908,4920,5296,5107,5256,5722,6119,6277,6926,6738,7007,7152,6839,6439,6893,6918,6584,7286,7672,7676,7273,6538,6496,5908,6169,5304,4529,4876,3453,3723,3779,3736,3809,3038,2631,2672,2568,3055,2434,1952,1941,1628,1376,1200,1089,868,699,555,450,362,300,288,187,137,101,73,65,51,37,206
서울특별시 성북구 (1129000000),437153,437153,2013,2217,2380,2594,3016,3218,3173,3163,3503,3545,3484,3272,3394,3759,3431,3375,3776,3872,3942,4840,5903,6079,6368,7066,6945,7169,7222,6862,6824,6534,5894,5721,5550,5561,5565,5702,5677,6443,6727,7003,6818,6765,5839,6166,6362,6648,7346,7647,7925,8323,8076,7839,7592,6894,6341,6582,6582,6101,6610,6764,7072,6582,6134,6151,5599,5857,4948,4401,4867,3286,3785,3856,3777,3877,3269,2831,2937,2936,3523,2777,2340,2296,1948,1716,1446,1373,1059,823,694,534,476,397,330,273,182,122,91,87,61,54,384
서울특별시 강북구 (1130500000),308055,308055,1003,1149,1309,1503,1651,1694,1658,1807,1979,1961,1986,1967,1949,2121,2025,1975,2216,2427,2455,2906,3507,3604,3913,4291,4356,4594,4755,4613,4789,4522,3905,3828,3733,3530,3557,3670,3637,4084,4419,4394,4422,4534,3818,4211,4184,4364,4893,5208,5302,5782,5540,5460,5535,5223,4733,5177,5026,4998,5368,5582,5800,5464,5030,5031,4615,4908,4249,3689,4062,3044,3302,3404,3479,3567,2793,2599,2651,2604,3151,2537,1960,1890,1601,1387,1264,1079,778,646,515,396,345,294,233,180,121,102,76,63,51,44,249
서울특별시 도봉구 (1132000000),325257,325257,1171,1450,1590,1756,1948,2049,2169,2016,2333,2293,2319,2230,2265,2577,2312,2250,2689,2803,2893,3289,3876,3807,3953,4366,4406,4581,4671,4679,4646,4427,4061,3945,3864,3716,3673,3907,3899,4386,4734,4808,4801,4585,3897,4333,4349,4579,5028,5413,5513,6037,5986,5830,5992,5561,5362,5541,5495,5331,5854,6068,6450,6040,5598,5647,5151,5399,4492,3795,4174,2994,3209,3140,3277,3302,2594,2306,2365,2377,2870,2266,1886,1864,1578,1351,1183,1049,818,755,634,485,369,318,305,210,152,95,73,71,48,30,175
