행정구역,2018년_계_총인구수,2018년_계_연령구간인구수,2018년_계_0~9세,2018년_계_10~19세,2018년_계_20~29세,2018년_계_30~39세,2018년_계_40~49세,2018년_계_50~59세,2018년_계_60~69세,2018년_계_70~79세,2018년_계_80~89세,2018년_계_90~99세,2018년_계_100세 이상,2019년_계_총인구수,2019년_계_연령구간인구수,2019년_계_0~9세,2019년_계_10~19세,2019년_계_20~29세,2019년_계_30~39세,2019년_계_40~49세,2019년_계_50~59세,2019년_계_60~69세,2019년_계_70~79세,2019년_계_80~89세,2019년_계_90~99세,2019년_계_100세 이상,2020년_계_총인구수,2020년_계_연령구간인구수,2020년_계_0~9세,2020년_계_10~19세,2020년_계_20~29세,2020년_계_30~39세,2020년_계_40~49세,2020년_계_50~59세,2020년_계_60~69세,2020년_계_70~79세,2020년_계_80~89세,2020년_계_90~99세,2020년_계_100세 이상
서울특별시 종로구 (1111000000),153065,153065,8588,12383,23765,21231,23849,25744,18581,12517,5216,960,231,151290,151290,8211,11748,23572,20376,23077,25714,19128,12538,5673,1000,253,149384,149384,7527,11013,23416,19943,22231,25459,19948,12500,5978,1093,276
서울특별시 중구 (1114000000),125725,125725,7597,7693,18267,20770,18968,21024,16276,10064,4173,714,179,126171,126171,7389,7308,18473,20662,18491,20956,16948,10380,4542,835,187,125240,125240,6836,6773,18586,20107,18011,20702,17551,10733,4836,900,205
서울특별시 용산구 (1117000000),228999,228999,14706,17149,32515,38285,37130,36247,26537,16995,7733,1365,337,228670,228670,14132,16391,32837,38033,36159,36459,27485,17122,8176,1523,353,230040,230040,13496,15609,33485,38069,35698,37070,28840,17203,8572,1627,371
서울특별시 성동구 (1120000000),308221,308221,23077,22969,46897,53359,49231,49449,34279,20166,7535,1030,229,300889,300889,21983,21435,45985,50964,47169,48446,35133,20424,8014,1102,234,293556,293556,20449,19815,45043,48905,45020,47248,36534,20586,8520,1185,251
서울특별시 광진구 (1121500000),355559,355559,23182,29234,61256,60447,56164,56427,38679,21347,7550,1083,190,351350,351350,21657,27573,61751,58175,54490,55638,40451,21943,8262,1205,205,346682,346682,19572,25931,62940,55983,52482,54541,42460,22428,8850,1277,218
서울특별시 동대문구 (1123000000),348052,348052,22896,26533,54289,52789,53730,55423,43292,27508,9912,1421,259,346194,346194,22115,25227,55028,51458,52463,54608,44789,27942,10763,1525,276,342837,342837,20788,23647,56331,50175,50630,53262,46393,28195,11521,1582,313
서울특별시 중랑구 (1126000000),403209,403209,26293,30589,57490,62177,61536,72008,52463,29329,9783,1372,169,397015,397015,24712,28532,56251,59522,59315,70861,54979,30337,10805,1515,186,394702,394702,23064,26759,56112,58124,57883,69528,58222,31445,11758,1601,206
서울특별시 성북구 (1129000000),435868,435868,31323,40086,63590,62008,73259,68347,50620,32478,12097,1728,332,442650,442650,30994,39102,66270,62041,72541,69841,53047,33198,13357,1896,363,437153,437153,28822,37145,66972,59843,69839,69381,54897,33568,14229,2073,384
서울특별시 강북구 (1130500000),319164,319164,18921,25261,43842,43446,50661,54270,42837,28854,9574,1269,229,313954,313954,17420,23660,43350,41035,48929,53606,44177,29587,10557,1399,234,308055,308055,15714,22027,42944,38757,46718,52642,45892,30087,11516,1509,249
서울특별시 도봉구 (1132000000),339413,339413,22184,29699,46095,45532,53130,59615,45165,26440,9953,1454,146,333362,333362,20665,27731,44922,43376,51071,58555,47357,27122,10845,1559,159,325257,325257,18775,25627,43412,40993,48535,57020,49740,27706,11603,1671,175
서울특별시 노원구 (1135000000),543752,543752,38147,60444,76371,71376,93598,89522,62273,35303,14403,2074,241,532905,532905,35765,56848,74581,67330,89904,88956,64980,36542,15507,2240,252,523037,523037,33182,53235,73182,64740,86240,87828,67804,37536,16494,2508,288
서울특별시 은평구 (1138000000),483197,483197,33399,42905,65317,71862,80095,77972,58799,37276,13368,1820,384,480032,480032,31683,40707,65924,69727,78223,77441,61152,38190,14595,1993,397,479835,479835,29704,38676,67058,68502,76628,77274,64438,39121,15897,2112,425
서울특별시 서대문구 (1141000000),310313,310313,21180,25513,48427,45526,49319,49357,35620,24100,9648,1376,247,309397,309397,20395,24615,48834,44681,48096,49404,36792,24190,10579,1534,277,312173,312173,20175,23622,50356,45109,47487,49367,38558,24304,11246,1651,298
서울특별시 마포구 (1144000000),375077,375077,27746,30948,59561,66963,63669,53898,36862,24096,9675,1364,295,374035,374035,26560,29727,60735,65646,62468,54170,38044,24340,10495,1532,318,371890,371890,24899,28372,61904,64486,60995,54255,39559,24309,11096,1669,346
서울특별시 양천구 (1147000000),464185,464185,34792,55101,61953,62817,82682,77941,51800,25850,9609,1477,163,458165,458165,33156,52583,60964,59835,80660,77424,54491,27087,10214,1581,170,454251,454251,31552,50872,59774,57820,78993,76495,57551,28593,10721,1693,187
서울특별시 강서구 (1150000000),596949,596949,46680,49481,87277,106818,94297,91098,70312,35756,12928,2093,209,591796,591796,43968,47442,87418,103078,93276,89067,73580,37550,13896,2303,218,580185,580185,39560,44694,86991,99062,90888,86196,76340,38915,14778,2522,239
서울특별시 구로구 (1153000000),404497,404497,31394,32623,55130,65587,64816,64139,51157,28761,9515,1220,155,406664,406664,30501,31579,55652,64654,64447,63993,53427,30373,10495,1387,156,404408,404408,28199,30189,55415,63147,63203,63330,55983,31804,11443,1516,179
서울특별시 금천구 (1154500000),233917,233917,14657,16916,35587,36215,35429,42099,29976,16797,5341,749,151,232810,232810,13746,15805,36241,35666,34191,41350,31511,17440,5917,775,168,231733,231733,12548,14669,37127,35481,32903,40292,33119,18059,6479,879,177
서울특별시 영등포구 (1156000000),367778,367778,26289,26126,55544,66210,56635,56851,43146,25715,9659,1354,249,367678,367678,25447,24859,56655,65986,55524,56168,44526,26266,10510,1468,269,379480,379480,25836,24278,59076,69245,56438,56931,47072,27380,11339,1598,287
서울특별시 동작구 (1159000000),396203,396203,27883,30460,65335,65942,61304,59291,45875,28203,10119,1524,267,395963,395963,26596,29451,66382,64161,60484,59258,47476,29106,11074,1688,287,391220,391220,24564,27821,66545,62096,58912,58343,49162,29755,11895,1814,313
서울특별시 관악구 (1162000000),501957,501957,27165,32559,104460,91028,72628,70327,56158,35098,10782,1460,292,500094,500094,25097,30700,107387,88858,70869,69536,57543,36211,12006,1582,305,495060,495060,22372,28600,109135,86781,68484,68052,59243,37176,13141,1753,323
서울특별시 서초구 (1165000000),433951,433951,37467,46932,57288,69032,79877,62233,45391,25316,8581,1647,187,430826,430826,36001,45963,56431,66802,78568,62779,46605,26507,9188,1774,208,425126,425126,33851,45329,55091,63224,77355,63197,47797,27434,9787,1829,232
서울특별시 강남구 (1168000000),542364,542364,39242,60965,76468,87691,99471,79078,56103,30741,10369,1992,244,545169,545169,38704,60451,75966,85623,100004,80246,57810,32853,11053,2188,271,539231,539231,36766,59134,73940,81838,99266,80350,59423,34167,11813,2238,296
서울특별시 송파구 (1171000000),666635,666635,53769,63324,94854,114426,109965,103577,76032,35838,12416,2186,248,675961,675961,53634,61673,96009,114527,110651,104449,80598,38429,13352,2369,270,667960,667960,50744,59068,94119,110590,109299,102566,84184,40440,14132,2519,299
서울특별시 강동구 (1174000000),427573,427573,31791,39228,58212,67233,68931,71017,54182,26277,8930,1562,210,436067,436067,32162,38461,59005,67743,69913,71043,57773,28410,9612,1717,228,459970,459970,34750,38961,61457,72086,74044,72227,63244,30632,10450,1864,255
