행정구역,2015년_계_총인구수,2015년_계_연령구간인구수,2015년_계_0~9세,2015년_계_10~19세,2015년_계_20~29세,2015년_계_30~39세,2015년_계_40~49세,2015년_계_50~59세,2015년_계_60~69세,2015년_계_70~79세,2015년_계_80~89세,2015년_계_90~99세,2015년_계_100세 이상
서울특별시 종로구 (1111000000),154986,154986,9256,14547,23272,21826,26288,25567,17157,11792,4261,811,209
서울특별시 중구 (1114000000),125733,125733,8179,9105,17668,20607,20436,21476,14661,9385,3476,603,137
서울특별시 용산구 (1117000000),233342,233342,16967,19844,31451,39187,40283,36760,24511,16669,6287,1094,289
서울특별시 성동구 (1120000000),297003,297003,23518,25795,43672,51194,50282,47842,29714,18131,5789,889,177
서울특별시 광진구 (1121500000),360369,360369,25934,34438,59063,63288,60793,56898,34360,18622,5923,895,155
서울특별시 동대문구 (1123000000),360153,360153,26070,31248,54417,57581,58356,57670,40283,25283,7882,1135,228
서울특별시 중랑구 (1126000000),413909,413909,30010,37183,58824,66193,68323,73072,46158,25170,7742,1087,147
서울특별시 성북구 (1129000000),459275,459275,37292,44817,65412,70999,80227,70884,47885,30321,9756,1401,281
서울특별시 강북구 (1130500000),330873,330873,22657,30285,43412,49586,55637,55218,39918,25725,7195,1013,227
서울특별시 도봉구 (1132000000),351242,351242,25890,35801,47806,50550,59102,61270,38841,22944,7828,1086,124
서울특별시 노원구 (1135000000),574583,574583,45452,71635,77604,82395,104721,92361,54711,31752,12000,1733,219
서울특별시 은평구 (1138000000),497920,497920,39466,49456,65211,80013,85631,78965,53795,33317,10264,1461,341
서울특별시 서대문구 (1141000000),312141,312141,22476,29179,47147,47840,52545,48798,32575,22664,7580,1138,199
서울특별시 마포구 (1144000000),387643,387643,31587,34744,58681,72731,66902,55201,35148,23143,8044,1212,250
서울특별시 양천구 (1147000000),484532,484532,39013,63344,65341,69223,90418,80215,45584,22078,7983,1201,132
서울특별시 강서구 (1150000000),589074,589074,50383,55998,83941,106920,95417,93601,60884,29298,10807,1634,191
서울특별시 구로구 (1153000000),422092,422092,38029,37129,56806,75923,68645,66292,46560,24360,7265,946,137
서울특별시 금천구 (1154500000),236284,236284,16328,20752,34550,37628,39528,41742,26502,14324,4204,598,128
서울특별시 영등포구 (1156000000),378504,378504,29502,31029,54712,68215,61493,60002,40948,23502,7721,1162,218
서울특별시 동작구 (1159000000),400641,400641,31342,34494,63113,71143,63573,60339,42259,24838,8054,1261,225
서울특별시 관악구 (1162000000),509663,509663,33191,38649,94582,98352,78122,72772,53670,30625,8305,1152,243
서울특별시 서초구 (1165000000),446764,446764,42159,50436,59466,76749,81327,63601,42630,21375,7400,1439,182
서울특별시 강남구 (1168000000),576495,576495,44866,68049,83293,100853,104137,84565,54003,25811,8950,1754,214
서울특별시 송파구 (1171000000),660302,660302,56779,70908,93616,114278,113482,104466,65430,29209,10204,1730,200
서울특별시 강동구 (1174000000),458658,458658,36953,46925,64161,74979,75941,78756,49565,22029,7881,1284,184
